"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CAJ","Canon, Inc.","22.2","$23.58B","n/a","Miscellaneous","Industrial Machinery/Components","https://old.nasdaq.com/symbol/caj",
"CGC","Canopy Growth Corporation","15.16","$5.3B","n/a","Consumer Durables","Specialty Chemicals","https://old.nasdaq.com/symbol/cgc",
"CMD","Cantel Medical Corp.","35.27","$1.49B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/cmd",
"COF","Capital One Financial Corporation","57.87","$26.45B","1994","Finance","Major Banks","https://old.nasdaq.com/symbol/cof",
"COF^F","Capital One Financial Corporation","24.95","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cof^f",
"COF^G","Capital One Financial Corporation","23","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cof^g",
"COF^H","Capital One Financial Corporation","24.91","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cof^h",
"COF^I","Capital One Financial Corporation","21","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cof^i",
"COF^J","Capital One Financial Corporation","20.18","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cof^j",
"CSU","Capital Senior Living Corporation","0.6598","$20.76M","1997","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/csu",
"BXMT","Capital Trust, Inc.","21.85","$2.96B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/bxmt",
"CPRI","Capri Holdings Limited","13.44","$2.01B","2011","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/cpri",
"CMO","Capstead Mortgage Corporation","4.93","$474.23M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cmo",
"CMO^E","Capstead Mortgage Corporation","19.7","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cmo^e",
"CAH","Cardinal Health, Inc.","45.4","$13.25B","n/a","Health Care","Other Pharmaceuticals","https://old.nasdaq.com/symbol/cah",
"CSL","Carlisle Companies Incorporated","129.1","$7.19B","n/a","Basic Industries","Specialty Chemicals","https://old.nasdaq.com/symbol/csl",
"KMX","CarMax Inc","60.92","$9.95B","n/a","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/kmx",
