Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-11-03,6.78,6.79,6.56,6.7,33673558.0,0.0,1.0,6.78,6.79,6.56,6.7,33673558.0
2016-11-02,7.03,7.055,6.67,6.76,33852218.0,0.0,1.0,7.03,7.055,6.67,6.76,33852218.0
2016-11-01,7.32,7.425,6.92,7.09,39906861.0,0.0,1.0,7.32,7.425,6.92,7.09,39906861.0
2016-10-31,7.24,7.46,7.2,7.23,42345904.0,0.0,1.0,7.24,7.46,7.2,7.23,42345904.0
2016-10-28,7.1,7.53,7.02,7.2,77261334.0,0.0,1.0,7.1,7.53,7.02,7.2,77261334.0
2016-10-27,7.44,7.46,7.1,7.11,37804176.0,0.0,1.0,7.44,7.46,7.1,7.11,37804176.0
2016-10-26,7.4,7.48,7.26,7.29,47619312.0,0.0,1.0,7.4,7.48,7.26,7.29,47619312.0
2016-10-25,6.9,7.5,6.87,7.5,78862046.0,0.0,1.0,6.9,7.5,6.87,7.5,78862046.0
2016-10-24,6.57,7.01,6.54,7.005,52998430.0,0.0,1.0,6.57,7.01,6.54,7.005,52998430.0
2016-10-21,6.5,6.65,6.37,6.52,64243549.0,0.0,1.0,6.5,6.65,6.37,6.52,64243549.0
2016-10-20,6.81,6.98,6.77,6.96,64607539.0,0.0,1.0,6.81,6.98,6.77,6.96,64607539.0
2016-10-19,6.7,6.8,6.57,6.77,29420227.0,0.0,1.0,6.7,6.8,6.57,6.77,29420227.0
2016-10-18,6.76,6.89,6.69,6.73,25314837.0,0.0,1.0,6.76,6.89,6.69,6.73,25314837.0
2016-10-17,6.92,6.97,6.64,6.67,24261489.0,0.0,1.0,6.92,6.97,6.64,6.67,24261489.0
2016-10-14,6.92,7.12,6.74,6.75,66934374.0,0.0,1.0,6.92,7.12,6.74,6.75,66934374.0
2016-10-13,6.5,6.54,6.24,6.49,30401706.0,0.0,1.0,6.5,6.54,6.24,6.49,30401706.0
2016-10-12,6.64,6.77,6.42,6.62,33592702.0,0.0,1.0,6.64,6.77,6.42,6.62,33592702.0
2016-10-11,6.8,6.84,6.38,6.5,32510803.0,0.0,1.0,6.8,6.84,6.38,6.5,32510803.0
2016-10-10,6.82,6.94,6.8,6.84,13800510.0,0.0,1.0,6.82,6.94,6.8,6.84,13800510.0
2016-10-07,6.92,6.96,6.62,6.75,33058999.0,0.0,1.0,6.92,6.96,6.62,6.75,33058999.0
2016-10-06,6.72,6.98,6.63,6.96,27059688.0,0.0,1.0,6.72,6.98,6.63,6.96,27059688.0
2016-10-05,6.97,7.01,6.7,6.78,31235592.0,0.0,1.0,6.97,7.01,6.7,6.78,31235592.0
2016-10-04,7.0,7.09,6.89,6.97,25770031.0,0.0,1.0,7.0,7.09,6.89,6.97,25770031.0
2016-10-03,6.95,7.15,6.87,6.95,30456683.0,0.0,1.0,6.95,7.15,6.87,6.95,30456683.0
2016-09-30,6.7,7.04,6.7,6.91,47453145.0,0.0,1.0,6.7,7.04,6.7,6.91,47453145.0
2016-09-29,6.57,6.73,6.54,6.67,30746101.0,0.0,1.0,6.57,6.73,6.54,6.67,30746101.0
2016-09-28,6.57,6.65,6.48,6.59,27878252.0,0.0,1.0,6.57,6.65,6.48,6.59,27878252.0
2016-09-27,6.45,6.58,6.29,6.54,30035862.0,0.0,1.0,6.45,6.58,6.29,6.54,30035862.0
2016-09-26,6.54,6.54,6.31,6.32,29875788.0,0.0,1.0,6.54,6.54,6.31,6.32,29875788.0
